ARTIST,RATING,YEAR,LOCATION,FESTIVAL_SET
Arcade Fire,10,2018,Las Vegas,1
Justice,10,2018,Las Vegas,1
Florence and The Machine,10,2018,Las Vegas,1
Odesza,10,2018,Indio,1
Bon Iver,10,2017,Indio,1
LA Philharmonic + Sigur Ros,10,2017,LA,0
Sigur Ros,10,2014,Malmo,0
Arcade Fire,10,2014,Indio,1
Escort,9,2018,San Francisco,0
Phoenix,9,2018,Berkeley,0
Jamie XX,9,2018,Golden Gate Park,1
Beyonce,10,2018,Indio,1
Soulwax,9,2018,Indio,1
The XX,9,2017,Las Vegas,1
Justice,9,2017,Indio,1
Sigur Ros,9,2017,LA,0
The XX,9,2017,London,0
Porter Robinson and Madeon,9,2017,London,0
Garden City Movement,9,2018,Tel Aviv,0
ACDC,9,2015,Indio,1
Porter Robinson,9,2015,Las Vegas,1
Alt-J,9,2015,Barcelona,1
Arcade Fire,9,2014,LA,0
Phoenix,9,2013,Indio,1
Chvrches,9,2013,Copenhagen,0
Red Hot Chili Peppers,9,2006,Oakland,0
Jungle,8,2018,Las Vegas,1
Sylvan Esso,8,2018,Las Vegas,1
Lake Street Dive,8,2018,San Francisco,0
Elohim,8,2018,Golden Gate Park,1
Tash Sultana,8,2018,Golden Gate Park,1
David Byrne,8,2018,Indio,1
Eminem,8,2018,Indio,1
Tank and the Bangas,8,2018,Indio,1
The Blaze,8,2018,Indio,1
Jungle,8,2018,San Francisco,0
Chance The Rapper,8,2017,Las Vegas,1
Goldroom,8,2017,Las Vegas,1
Mura Masa,8,2017,Las Vegas,1
ZHU,8,2017,Las Vegas,1
Goldroom,8,2017,San Francisco,1
Phoenix,8,2017,Mountain View,1
Hans Zimmer,8,2017,Indio,1
Moderat,8,2017,Indio,1
The XX,8,2017,Indio,1
BORNS,8,2016,Indio,1
Chvrches,8,2016,Indio,1
Gallant,8,2016,Indio,1
Matt & Kim,8,2016,Indio,1
The Lumineers,8,2016,Las Vegas,1
Flume,8,2016,Las Vegas,1
Griz ,8,2016,San Francisco,1
James Vincent McMorrow,8,2016,London,0
Mura Masa,8,2016,San Francisco,0
Alt-J,8,2015,Indio,1
Jamie XX,8,2015,Indio,1
ODESZA,8,2015,Indio,1
Porter Robinson,8,2015,Indio,1
Yelle,8,2015,Indio,1
Sylvan Esso,8,2015,Indio,1
ODESZA,8,2015,Indio,1
Imagine Dragons,8,2015,LA,0
Ben Howard,8,2015,Berkeley ,0
Imagine Dragons,8,2015,Las Vegas,1
Elton John,8,2015,San Francisco,1
Garden City Movement,8,2015,Barcelona,1
Jungle,8,2015,Barcelona,1
Matt and Kim,8,2015,LA,0
Daughter,8,2014,Indio,1
Chromeo,8,2014,Indio,1
Flume,8,2014,Indio,1
Phantogram,8,2014,Monterey,1
Major Lazer,8,2013,Indio,1
The XX,8,2013,Indio,1
Yeasayer,8,2013,Indio,1
The Floor is Made of Lava,8,2013,Copenhagen,0
Taylor Swift,8,2012,Claremont,0
Elton John,8,2010,Ontario,0
First Aid Kit,7,2018,Las Vegas,1
Cut Copy,7,2018,Berkeley,0
Rainbow Kitten Surprise\,7,2018,Golden Gate Park,1
LP,7,2018,Golden Gate Park,1
Chvrches,7,2018,Golden Gate Park,1
Bon Iver,7,2018,Golden Gate Park,1
Bleachers,7,2018,Indio,1
